width,depth,gate_counts_1q,gate_counts_2q,Dp1,Dp2,Dp3,POS,POF,ODR,target
9,10,23,4,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.003,0.997,0.003,-1.0
9,10,23,4,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.01,0.99,0.01,-1.0
9,10,23,4,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.003,0.997,0.003,-1.0
9,10,23,4,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.003,0.997,0.003,-1.0
9,10,23,4,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.001,0.999,0.001,-1.0
4,5,3,1,0.17571762812291372,0.17379933108422252,0.17615753250831898,0.462,0.538,0.858,0.5029296875
4,5,3,1,0.17571762812291372,0.17379933108422252,0.17615753250831898,0.037,0.963,0.039,-1.0
4,5,3,1,0.17571762812291372,0.17379933108422252,0.17615753250831898,0.037,0.963,0.038,-1.0
4,5,3,1,0.17571762812291372,0.17379933108422252,0.17615753250831898,0.464,0.536,0.865,0.4970703125
6,6,3,2,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.433,0.567,0.763,0.5048828125
6,6,3,2,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.017,0.983,0.017,-1.0
6,6,3,2,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.441,0.559,0.789,0.4951171875
6,6,3,2,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.027,0.973,0.028,-1.0
6,6,3,2,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.025,0.975,0.026,-1.0
6,6,3,2,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.024,0.976,0.025,-1.0
6,6,3,2,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.014,0.986,0.014,-1.0
6,6,3,2,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.019,0.981,0.019,-1.0
8,7,3,3,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.035,0.965,0.036,-1.0
8,7,3,3,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.389,0.611,0.637,0.5048828125
8,7,3,3,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.414,0.586,0.708,0.4951171875
8,7,3,3,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.002,0.998,0.002,-1.0
8,7,3,3,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.016,0.984,0.016,-1.0
8,7,3,3,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.021,0.979,0.021,-1.0
8,7,3,3,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.019,0.981,0.019,-1.0
8,7,3,3,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.021,0.979,0.021,-1.0
8,7,3,3,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.004,0.996,0.004,-1.0
8,7,3,3,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.037,0.963,0.039,-1.0
8,7,3,3,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.017,0.983,0.017,-1.0
8,7,3,3,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.012,0.988,0.012,-1.0
8,7,3,3,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.002,0.998,0.002,-1.0
8,7,3,3,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.007,0.993,0.007,-1.0
8,7,3,3,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.003,0.997,0.003,-1.0
8,7,3,3,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.002,0.998,0.002,-1.0
10,8,3,4,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.022,0.978,0.022,-1.0
10,8,3,4,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.031,0.969,0.032,-1.0
10,8,3,4,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.025,0.975,0.025,-1.0
10,8,3,4,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.397,0.603,0.658,0.4990234375
10,8,3,4,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.001,0.999,0.001,-1.0
10,8,3,4,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.364,0.637,0.571,0.5009765625
10,8,3,4,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.002,0.998,0.002,-1.0
10,8,3,4,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.02,0.98,0.021,-1.0
10,8,3,4,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.019,0.981,0.02,-1.0
10,8,3,4,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.026,0.974,0.026,-1.0
10,8,3,4,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.014,0.986,0.014,-1.0
